"scheduled","movie","number.visitors","filled..","screening.room","capacity","minutes","lag_min","buffer_min","fear_rating"
"18-12-2013 14:00","The Hobbit: The Desolation of Smaug",31,13.03,2,238,161,41.5,5,1.5
"18-12-2013 19:00","The Hobbit: The Desolation of Smaug",156,65.55,2,238,161,41.5,5,1.5
"18-12-2013 23:20","Carrie",8,3.36,2,238,100,17.5,0,3.275
"19-12-2013 10:30","Suck Me Shakespeer",113,47.48,2,238,119,25.5,10,0
"19-12-2013 14:10","Dinosaurier - Im Reich der Giganten",11,4.62,2,238,87,16.5,5,1
"19-12-2013 20:00","The Secret Life of Walter Mitty",45,18.91,2,238,114,18.5,8,1
"19-12-2013 22:40","The Counselor",29,12.18,2,238,117,10,2,3.4167
"20-12-2013 14:10","Dinosaurier - Im Reich der Giganten",8,3.36,2,238,87,16.5,5,1
"20-12-2013 16:55","Belle and Sebastian",8,3.36,2,238,104,13.5,1.5,1.5
"20-12-2013 19:40","Dinosaurier - Im Reich der Giganten",7,2.94,2,238,87,16.5,5,1
"20-12-2013 22:20","The Counselor",50,21.01,2,238,117,10,2,3.4167
"21-12-2013 11:10","Suck Me Shakespeer",11,4.62,2,238,119,25.5,10,0
"21-12-2013 14:10","Dinosaurier - Im Reich der Giganten",19,7.98,2,238,87,16.5,5,1
"21-12-2013 16:55","Belle and Sebastian",34,14.29,2,238,104,13.5,1.5,1.5
"21-12-2013 19:40","Dinosaurier - Im Reich der Giganten",9,3.78,2,238,87,16.5,5,1
"21-12-2013 22:20","The Counselor",90,37.82,2,238,117,10,2,3.4167
"22-12-2013 11:10","Suck Me Shakespeer",21,8.82,2,238,119,25.5,10,0
"22-12-2013 14:10","Dinosaurier - Im Reich der Giganten",59,24.79,2,238,87,16.5,5,1
"22-12-2013 17:00","Bolshoi: Dornröschen",159,66.81,2,238,138,37,0,0
"22-12-2013 20:10","The Hobbit: The Desolation of Smaug",139,58.4,2,238,161,41.5,5,1.5
"23-12-2013 11:10","Suck Me Shakespeer",26,10.92,2,238,119,25.5,10,0
"23-12-2013 14:10","Dinosaurier - Im Reich der Giganten",36,15.13,2,238,87,16.5,5,1
"23-12-2013 16:55","Belle and Sebastian",14,5.88,2,238,104,13.5,1.5,1.5
"23-12-2013 19:35","Machete Kills",44,18.49,2,238,107,23,0,2.5
"23-12-2013 22:30","Machete Kills",68,28.57,2,238,107,23,0,2.5
"24-12-2013 11:10","Suck Me Shakespeer",17,7.14,2,238,119,25.5,10,0
"24-12-2013 14:10","Dinosaurier - Im Reich der Giganten",17,7.14,2,238,87,16.5,5,1
"25-12-2013 12:10","Buddy",5,2.1,2,238,94,18.5,9,0
"25-12-2013 14:50","Buddy",54,22.69,2,238,94,18.5,9,0
"25-12-2013 17:35","Buddy",80,33.61,2,238,94,18.5,9,0
"25-12-2013 20:20","Buddy",103,43.28,2,238,94,18.5,9,0
"25-12-2013 23:10","Buddy",28,11.76,2,238,94,18.5,9,0
"26-12-2013 13:15","The Hunger Games: Catching Fire",87,36.55,2,238,146,5,5,2
"26-12-2013 16:50","Dinosaurier - Im Reich der Giganten",44,18.49,2,238,87,16.5,5,1
"26-12-2013 19:30","Buddy",115,48.32,2,238,94,18.5,9,0
"26-12-2013 22:25","Buddy",29,12.18,2,238,94,18.5,9,0
"27-12-2013 10:45","Journey to the Christmas Star",8,3.36,2,238,80,15.5,0,1
"27-12-2013 13:15","The Hunger Games: Catching Fire",96,40.34,2,238,146,5,5,2
"27-12-2013 16:50","Dinosaurier - Im Reich der Giganten",44,18.49,2,238,87,16.5,5,1
"27-12-2013 19:30","Buddy",124,52.1,2,238,94,18.5,9,0
"27-12-2013 22:25","Buddy",53,22.27,2,238,94,18.5,9,0
"28-12-2013 13:15","The Hunger Games: Catching Fire",104,43.7,2,238,146,5,5,2
"28-12-2013 16:50","Dinosaurier - Im Reich der Giganten",67,28.15,2,238,87,16.5,5,1
"28-12-2013 19:30","Buddy",187,78.57,2,238,94,18.5,9,0
"28-12-2013 22:25","Buddy",102,42.86,2,238,94,18.5,9,0
"29-12-2013 10:45","Journey to the Christmas Star",25,10.5,2,238,80,15.5,0,1
"29-12-2013 13:15","The Hunger Games: Catching Fire",182,76.47,2,238,146,5,5,2
"29-12-2013 16:50","Dinosaurier - Im Reich der Giganten",86,36.13,2,238,87,16.5,5,1
"29-12-2013 19:30","Buddy",174,73.11,2,238,94,18.5,9,0
"29-12-2013 22:25","Buddy",24,10.08,2,238,94,18.5,9,0
"30-12-2013 10:45","Journey to the Christmas Star",14,5.88,2,238,80,15.5,0,1
"30-12-2013 13:15","The Hunger Games: Catching Fire",107,44.96,2,238,146,5,5,2
"30-12-2013 16:50","Dinosaurier - Im Reich der Giganten",33,13.87,2,238,87,16.5,5,1
"30-12-2013 19:30","Buddy",109,45.8,2,238,94,18.5,9,0
"30-12-2013 22:25","Buddy",31,13.03,2,238,94,18.5,9,0
"31-12-2013 10:45","Journey to the Christmas Star",14,5.88,2,238,80,15.5,0,1
"31-12-2013 13:15","The Hunger Games: Catching Fire",75,31.51,2,238,146,5,5,2
"31-12-2013 16:50","Dinosaurier - Im Reich der Giganten",26,10.92,2,238,87,16.5,5,1
"31-12-2013 19:30","The Physician",232,97.48,2,238,150,33,0,0
"01-01-2014 13:55","Dinosaurier - Im Reich der Giganten",30,12.61,2,238,87,16.5,5,1
"01-01-2014 16:25","The Secret Life of Walter Mitty",61,25.63,2,238,114,18.5,8,1
"01-01-2014 19:30","Buddy",89,37.39,2,238,94,18.5,9,0
"01-01-2014 22:25","Buddy",13,5.46,2,238,94,18.5,9,0
"02-01-2014 11:20","The Little Ghost",27,11.34,2,238,92,12,0,1
"02-01-2014 13:45","The Hunger Games: Catching Fire",100,42.02,2,238,146,5,5,2
"02-01-2014 17:15","The Secret Life of Walter Mitty",56,23.53,2,238,114,18.5,8,1
"02-01-2014 20:15","The Secret Life of Walter Mitty",198,83.19,2,238,114,18.5,8,1
"02-01-2014 23:15","The Secret Life of Walter Mitty",77,32.35,2,238,114,18.5,8,1
"03-01-2014 11:20","The Little Ghost",52,21.85,2,238,92,12,0,1
"03-01-2014 13:45","The Hunger Games: Catching Fire",73,30.67,2,238,146,5,5,2
"03-01-2014 17:15","The Secret Life of Walter Mitty",100,42.02,2,238,114,18.5,8,1
"03-01-2014 20:15","The Secret Life of Walter Mitty",226,94.96,2,238,114,18.5,8,1
"03-01-2014 23:15","The Secret Life of Walter Mitty",56,23.53,2,238,114,18.5,8,1
"04-01-2014 11:20","The Little Ghost",47,19.75,2,238,92,12,0,1
"04-01-2014 13:45","The Hunger Games: Catching Fire",116,48.74,2,238,146,5,5,2
"04-01-2014 17:15","The Secret Life of Walter Mitty",117,49.16,2,238,114,18.5,8,1
"04-01-2014 20:15","The Secret Life of Walter Mitty",227,95.38,2,238,114,18.5,8,1
"04-01-2014 23:15","The Secret Life of Walter Mitty",147,61.76,2,238,114,18.5,8,1
"05-01-2014 11:20","The Little Ghost",67,28.15,2,238,92,12,0,1
"05-01-2014 13:45","The Hunger Games: Catching Fire",183,76.89,2,238,146,5,5,2
"05-01-2014 17:15","The Secret Life of Walter Mitty",191,80.25,2,238,114,18.5,8,1
"05-01-2014 20:15","The Secret Life of Walter Mitty",194,81.51,2,238,114,18.5,8,1
"05-01-2014 23:15","The Secret Life of Walter Mitty",22,9.24,2,238,114,18.5,8,1
"06-01-2014 11:20","The Little Ghost",47,19.74,2,238,92,12,0,1
"06-01-2014 17:15","The Secret Life of Walter Mitty",41,17.22,2,238,114,18.5,8,1
"06-01-2014 20:15","The Secret Life of Walter Mitty",110,46.21,2,238,114,18.5,8,1
"06-01-2014 23:15","The Secret Life of Walter Mitty",12,5.04,2,238,114,18.5,8,1
"07-01-2014 11:20","The Little Ghost",79,33.19,2,238,92,12,0,1
"07-01-2014 13:45","The Hunger Games: Catching Fire",87,36.55,2,238,146,5,5,2
"07-01-2014 17:15","The Secret Life of Walter Mitty",36,15.12,2,238,114,18.5,8,1
"07-01-2014 20:15","The Secret Life of Walter Mitty",145,60.92,2,238,114,18.5,8,1
"07-01-2014 23:15","The Secret Life of Walter Mitty",12,5.04,2,238,114,18.5,8,1
"08-01-2014 13:45","The Hunger Games: Catching Fire",48,20.16,2,238,146,5,5,2
"08-01-2014 17:15","The Secret Life of Walter Mitty",39,16.38,2,238,114,18.5,8,1
"08-01-2014 20:15","The Secret Life of Walter Mitty",138,57.98,2,238,114,18.5,8,1
"08-01-2014 23:15","The Secret Life of Walter Mitty",10,4.2,2,238,114,18.5,8,1
"09-01-2014 14:10","The Starving Games",11,4.84,7,227,83,14,10,2
"09-01-2014 16:30","The Hobbit: The Desolation of Smaug",20,8.81,7,227,161,41.5,5,1.5
"09-01-2014 20:35","Paranormal Activity: The Marked Ones",71,31.27,7,227,84,25,0,3.275
"09-01-2014 22:35","Paranormal Activity: The Marked Ones",27,11.89,7,227,84,25,0,3.275
"10-01-2014 14:10","The Starving Games",43,18.94,7,227,83,14,10,2
"10-01-2014 16:30","The Hobbit: The Desolation of Smaug",31,13.65,7,227,161,41.5,5,1.5
"10-01-2014 20:35","Paranormal Activity: The Marked Ones",121,53.3,7,227,84,25,0,3.275
"10-01-2014 22:35","Paranormal Activity: The Marked Ones",90,39.64,7,227,84,25,0,3.275
"11-01-2014 11:35","Belle and Sebastian",13,5.72,7,227,104,13.5,1.5,1.5
"11-01-2014 14:10","The Starving Games",60,26.43,7,227,83,14,10,2
"11-01-2014 16:30","The Hobbit: The Desolation of Smaug",107,47.13,7,227,161,41.5,5,1.5
"11-01-2014 20:35","Paranormal Activity: The Marked Ones",197,86.78,7,227,84,25,0,3.275
"11-01-2014 22:35","Paranormal Activity: The Marked Ones",142,62.55,7,227,84,25,0,3.275
